suspect_idx	suspect_mz	suspect_rt	scan_idx	scan_rt	matched_mz	matched_intensity	ppm_error
9	239.0496	312.55	116	304.2419	239.101944231889	2596.39526367188	218.968079799262
9	239.0496	312.55	117	307.0326	239.105596118202	8876.0341796875	234.244768456027
9	239.0496	312.55	118	309.8219	239.105532235753	10168.3212890625	233.977533336793
9	239.0496	312.55	119	312.6019	239.105665514111	11507.611328125	234.535067662226
9	239.0496	312.55	120	315.3219	239.102161383289	1215.2353515625	219.876474541469
9	239.0496	312.55	121	318.1119	239.105535497334	5023.3662109375	233.991177287969
9	239.0496	312.55	122	320.822	239.105632090779	3063.39770507812	234.395250102367
9	239.0496	312.55	123	323.5519	239.127702805052	1372.32727050781	326.722174193486
10	169.0094	168.08	57	156.642	169.021050410501	482.506286621094	68.9335060719629
10	169.0094	168.08	58	159.612	169.037626966241	2940.96728515625	167.014179337396
10	169.0094	168.08	59	162.4924	168.98896850992	990.158264160156	120.889666967792
10	169.0094	168.08	60	165.3021	169.03747881541	1494.30688476562	166.137595958712
10	169.0094	168.08	61	168.1419	169.085378051875	7193.05078125	449.549266934168
10	169.0094	168.08	62	170.8219	169.085347914944	7948.8916015625	449.370951815425
10	169.0094	168.08	63	173.6119	169.085379636191	5998.5595703125	449.558641062367
10	169.0094	168.08	64	176.4021	169.085343102147	14948.744140625	449.342475314677
10	169.0094	168.08	65	179.0422	169.085320748456	9521.5634765625	449.210212307294
11	300.0564	689.79	263	680.4024	301.836964460647	2717.30126953125	5934.09925816351
11	300.0564	689.79	264	683.0524	301.881460985882	2647.3515625	6082.39312969915
11	300.0564	689.79	265	685.762	301.073023342509	4773.720703125	3388.10751081903
11	300.0564	689.79	266	688.5524	302.070486174706	16311.5654296875	6712.35865892619
11	300.0564	689.79	267	691.0119	300.768202210797	2777.24169921875	2372.22805711518
11	300.0564	689.79	268	693.6619	299.56722134602	2491.412109375	1630.28901893221
11	300.0564	689.79	269	696.3819	300.201576296299	3385.38940429688	483.830027617332
11	300.0564	689.79	270	699.1025	298.429941593603	2543.97119140625	5420.5089656362
11	300.0564	689.79	271	701.7524	298.95822482877	2468.54248046875	3659.89584368034
12	167.0633	572.93	217	561.6419	167.033344985148	4605.42724609375	179.30338292111
12	167.0633	572.93	218	564.2919	167.353801707289	2539.08984375	1738.87207596742
12	167.0633	572.93	219	566.9419	167.090894358032	4943.392578125	165.173069322762
12	167.0633	572.93	220	569.5919	166.085758078465	12228.76171875	5851.32654230237
12	167.0633	572.93	221	571.5023	166.085780508038	18568.033203125	5851.19228437415
12	167.0633	572.93	222	573.8554	167.088896945571	2845.10961914062	153.217047494898
12	167.0633	572.93	223	576.0619	167.090689431235	4398.0283203125	163.946427701575
12	167.0633	572.93	224	578.6324	167.089264220389	2694.6513671875	155.415464609784
12	167.0633	572.93	225	581.4019	167.043822398213	3004.2255859375	116.588154235125
12	167.0633	572.93	226	584.1119	166.085629084452	18520.052734375	5852.09866887396
13	434.9314	767.86	294	757.0521	435.188268580433	4403.5166015625	590.595621362701
13	434.9314	767.86	295	759.772	434.185410765598	8030.9140625	1715.18826739528
13	434.9314	767.86	296	761.8025	434.184275624462	5279.0673828125	1717.79819883863
13	434.9314	767.86	297	764.4323	432.859153551471	3459.94140625	4764.53631199981
13	434.9314	767.86	298	766.9019	439.647061009836	2872.24365234375	10842.3098673397
13	434.9314	767.86	299	769.5319	436.140817896344	6802.09521484375	2780.70954716959
13	434.9314	767.86	300	772.2319	434.170880165135	2884.78735351562	1748.5972152495
13	434.9314	767.86	301	774.8619	432.073064382661	3368.45751953125	6571.92287643262
13	434.9314	767.86	302	777.3319	434.984504326877	2602.43212890625	122.098167382694
13	434.9314	767.86	303	779.4923	431.098796723072	17784.486328125	8811.97190391026
14	450.9263	791.29	303	779.4923	450.772634189283	3434.83618164062	340.778106571296
14	450.9263	791.29	304	782.1919	448.125508000509	7468.0234375	6211.19681750781
14	450.9263	791.29	305	784.8219	453.080333552101	3974.09130859375	4776.90822669114
14	450.9263	791.29	306	787.3119	450.305308444323	3177.93359375	1377.1464553674
14	450.9263	791.29	307	790.0119	453.080814820973	3466.46411132812	4777.97551611691
14	450.9263	791.29	308	792.7124	448.12578617485	3103.736328125	6210.579922152
14	450.9263	791.29	309	795.3623	450.196225993414	3029.1318359375	1619.05394869651
14	450.9263	791.29	310	797.8924	451.3334999679	2195.703125	903.029980508629
14	450.9263	791.29	311	800.572	450.11926003437	6609.09326171875	1789.73806945923
14	450.9263	791.29	312	803.0419	450.120395603005	6922.09375	1787.21976738709
15	322.1328	706.5	269	696.3819	327.007069695503	10671.1845703125	15131.2430634286
15	322.1328	706.5	270	699.1025	324.148366128603	2821.92041015625	6256.94163588047
15	322.1328	706.5	271	701.7524	323.160478892049	2800.62158203125	3190.23363050522
15	322.1328	706.5	272	704.2727	320.15720864478	6573.8984375	6132.84755610035
15	322.1328	706.5	273	706.2119	324.129182376815	3624.4384765625	6197.38932767775
15	322.1328	706.5	274	708.9024	322.471533364636	4458.4404296875	1051.53329507485
15	322.1328	706.5	275	711.5119	320.56558805773	5659.19384765625	4865.11135243115
15	322.1328	706.5	276	713.9019	322.77138343191	5042.65625	1982.36079005439
15	322.1328	706.5	277	715.572	321.831905958597	4182.42919921875	934.06831407007
15	322.1328	706.5	278	718.262	323.216815950505	8427.45703125	3365.12131178465
16	395.0391	741.93	283	730.3119	395.164615209777	85984.390625	317.728573646012
16	395.0391	741.93	284	732.9923	395.164615729235	91800.359375	317.729888598561
16	395.0391	741.93	285	735.5319	395.16468883449	34515.00390625	317.91494687467
16	395.0391	741.93	286	737.3924	395.164599988531	39549.140625	317.69004265987
16	395.0391	741.93	287	739.8719	395.110909513513	2442.40673828125	181.778242995886
16	395.0391	741.93	288	741.802	395.164161941348	13378.767578125	316.581172214251
16	395.0391	741.93	289	744.5424	395.157933841052	3191.28393554688	300.815390304785
16	395.0391	741.93	290	746.8319	394.101470690659	2479.14208984375	2373.51013948099
16	395.0391	741.93	291	749.5519	394.649075008666	2920.5107421875	987.307310425804
16	395.0391	741.93	292	752.0225	394.101655020132	3050.49340820312	2373.04352877393
17	213.0324	533.9	201	522.2519	212.094384230239	23993.068359375	4403.16012851201
17	213.0324	533.9	202	524.9523	212.094289468859	36368.671875	4403.6049499572
17	213.0324	533.9	203	527.5719	213.098325439487	5211.37890625	309.462032476555
17	213.0324	533.9	204	529.532	213.09774623304	4593.7861328125	306.743166956502
17	213.0324	533.9	205	531.642	213.097885797206	8439.5009765625	307.398298125727
17	213.0324	533.9	206	534.3519	213.097737981903	12027.8193359375	306.704435112825
17	213.0324	533.9	207	537.0119	213.093867978984	2211.76831054688	288.53817064399
17	213.0324	533.9	208	539.0419	213.097774597555	28323.90625	306.876313439805
17	213.0324	533.9	209	541.172	213.093165629751	4529.95703125	285.241257906663
17	213.0324	533.9	210	543.8319	213.092586735923	2680.50756835938	282.523859857128
18	170.0281	363.59	134	352.2219	170.047654640378	3037.24536132812	115.008286150026
18	170.0281	363.59	135	354.1819	170.095864125246	1715.66284179688	398.546624035588
18	170.0281	363.59	136	356.3219	169.889466876004	1602.0166015625	815.354191430301
18	170.0281	363.59	137	359.0624	170.080554878313	4678.39892578125	308.50711330994
18	170.0281	363.59	138	361.792	170.69763154168	2195.56201171875	3937.76994320243
18	170.0281	363.59	139	364.5922	170.080752495475	2444.38989257812	309.669375093544
18	170.0281	363.59	140	367.382	170.080711076555	1990.69848632812	309.425774652011
18	170.0281	363.59	141	370.162	170.095981328565	2422.00146484375	399.235941383095
18	170.0281	363.59	142	372.8124	170.095795073456	2455.50122070312	398.140504164272
18	170.0281	363.59	143	374.7119	169.805885402606	2222.53637695312	1306.92866293336
19	286.9439	830.97	320	820.8726	287.145635869892	40349.83984375	703.049864074245
19	286.9439	830.97	321	823.6019	287.145662494783	49687.8359375	703.142651867378
19	286.9439	830.97	322	826.202	287.145728726497	52382.796875	703.373469506904
19	286.9439	830.97	323	828.8119	287.14574406785	15466.080078125	703.426934149663
19	286.9439	830.97	324	830.582	287.145320007399	14715.576171875	701.949082725464
19	286.9439	830.97	325	833.1819	287.145614889171	14978.3583984375	702.976746223028
19	286.9439	830.97	326	835.3219	287.145353103627	10105.578125	702.064423140013
19	286.9439	830.97	327	837.992	287.145465282574	7040.19189453125	702.455366969719
19	286.9439	830.97	328	839.8919	287.220970377009	14286.2265625	965.590754877915
19	286.9439	830.97	329	841.7676	287.221160159572	15838.04296875	966.252147447817
20	462.976	662.99	252	651.792	462.97336734241	2704.34936523438	5.68638026537628
20	462.976	662.99	253	654.5019	462.144831480755	21304.37890625	1795.27344666798
20	462.976	662.99	254	656.832	463.142735750619	6526.14697265625	360.139079819718
20	462.976	662.99	255	659.592	463.145512901499	5321.8369140625	366.137556803237
20	462.976	662.99	256	662.3519	463.144263352275	5312.72265625	363.438606481993
20	462.976	662.99	257	664.9919	462.144999294404	28307.390625	1794.9109793947
20	462.976	662.99	258	667.6219	462.144946973186	22542.712890625	1795.02399004195
20	462.976	662.99	259	670.3219	462.145010700548	26253.947265625	1794.8863428177
20	462.976	662.99	260	672.9619	462.145043233157	17278.73828125	1794.81607436127
21	366.9007	700.52	266	688.5524	367.041164393446	2596.14990234375	382.840352840966
21	366.9007	700.52	267	691.0119	366.546142500647	5333.484375	966.358198151576
21	366.9007	700.52	268	693.6619	366.548298695172	3205.26977539062	960.481418619235
21	366.9007	700.52	269	696.3819	366.547886289244	10343.9140625	961.605444622822
21	366.9007	700.52	270	699.1025	366.548177282073	7686.33642578125	960.81233403737
21	366.9007	700.52	271	701.7524	368.161054116245	11224.423828125	3435.13685377401
21	366.9007	700.52	272	704.2727	366.547474223555	5718.7021484375	962.728543296045
21	366.9007	700.52	273	706.2119	366.541021198614	3334.841796875	980.316476326152
21	366.9007	700.52	274	708.9024	366.542358259574	10073.087890625	976.672272431209
21	366.9007	700.52	275	711.5119	366.347533241459	3678.2021484375	1507.67430681204
22	207.0443	403.37	150	391.3819	207.112059822798	8028.728515625	327.272099727439
22	207.0443	403.37	151	394.0219	207.112216775234	3817.63330078125	328.030161825597
22	207.0443	403.37	152	396.8024	202.179621533863	16314.638671875	23495.8338198001
22	207.0443	403.37	153	399.5821	206.645019062712	2417.92919921875	1928.48070334506
22	207.0443	403.37	154	402.2925	209.117576893793	12768.9365234375	10013.6873789452
22	207.0443	403.37	155	405.0123	209.117384325818	64392.49609375	10012.7572979226
22	207.0443	403.37	156	407.392	205.085562892059	2295.36767578125	9460.47347326665
22	207.0443	403.37	157	410.032	207.174207273496	3069.07250976562	627.4370919437
22	207.0443	403.37	158	412.3928	206.776330430358	1925.63989257812	1294.26199920716
22	207.0443	403.37	159	414.7224	207.987336049818	3071.6884765625	4554.75494770168
