suspect_idx	suspect_mz	suspect_rt	fitted_amplitude	fitted_mean	fitted_sd	num_scans	fit_rmse_norm
3	195.9129	488.1	22410.7139563196	483.87574956238	3.85926245751469	9	0.147534972099828
6	138.0197	166.56	3926.71004990032	197.232032486646	20.6454243743064	8	0.0748554787111965
8	395.1646	598.96	5532.04212559365	-416566356.026293	464310937.680581	9	0.183297466015245
9	239.0496	312.55	10297.4267371844	310.244527034976	4.81181751391174	9	0.197567277184442
10	169.0094	168.08	11159.3193928193	177.87147928284	7.93741015647099	9	0.14704061533568
14	450.9263	791.29	6232.98578617069	-62815072.2409066	73786003.8198038	10	0.24144347647985
21	366.9007	700.52	8573.54619625229	701.055384398355	8.79960238055278	10	0.225905546827927
